rep,reallocation,n_completed,n_withdrawn,n_active_at_end,X_total,total_mw,first_wd_month
275,True,0,6,0,30015510.694052547,129.81799999999998,0
276,True,0,6,0,461657312.8219386,908.65,0
277,True,0,6,0,38912419.47048217,539.0,0
278,True,1,5,0,117995635.40472549,247.6,0
279,True,2,4,0,65947582.365812615,259.9,0
280,True,1,5,0,69604433.06104358,187.0,0
281,True,0,6,0,43552137.72202599,326.9,0
282,True,0,6,0,406268475.5457528,741.6,0
283,True,0,6,0,159952915.38999596,670.6,0
284,True,0,6,0,186646314.2548574,340.6,0
285,True,0,6,0,331644511.9022879,784.28,0
286,True,1,5,0,87721493.19539157,299.51,0
287,True,1,5,0,222193168.13734964,567.9599999999999,0
288,True,0,6,0,263640868.50192785,623.0,0
289,True,0,6,0,14787051.397725327,181.875,0
290,True,0,6,0,127409988.7414546,378.905,0
291,True,6,0,0,103608385.69795796,686.0,-1
292,True,0,6,0,196202553.43028396,1000.6,0
293,True,0,6,0,528936483.15123546,1905.2,0
294,True,0,6,0,115649947.0666238,769.0,0
295,True,0,6,0,177727642.27706513,407.1,0
296,True,0,6,0,147448641.87731442,404.5,0
297,True,0,6,0,224615824.51973757,612.5,0
298,True,5,1,0,14409423.70454414,141.0,12
299,True,0,6,0,117108527.8475924,1428.6,0
300,True,1,5,0,180698322.94340265,324.28999999999996,0
301,True,0,6,0,161692766.5130143,371.2,0
302,True,3,3,0,41170745.19178979,243.8,2
303,True,2,4,0,31413382.7773165,357.2,0
304,True,3,3,0,61774125.67208975,613.56,0
305,True,6,0,0,39171252.42866895,93.41,-1
306,True,0,6,0,721085833.6506865,2077.1,0
307,True,0,6,0,36402847.77475868,299.11,0
308,True,4,2,0,58414051.91077698,357.2,1
309,True,0,6,0,138733165.12027884,369.1,0
310,True,0,6,0,252000098.93590185,731.75,0
311,True,0,6,0,246136710.88510218,1562.2,0
312,True,4,2,0,84906039.711825,419.8,1
313,True,1,5,0,96211285.93881248,1023.4,0
314,True,3,3,0,99925669.81146343,853.0,0
315,True,0,6,0,142885288.686228,270.20000000000005,0
316,True,0,6,0,168808049.66490003,448.4,0
317,True,0,6,0,265750555.58231804,750.965,0
318,True,5,1,0,30262585.035253845,159.536,2
319,True,2,4,0,135735439.52552113,417.5,1
320,True,0,6,0,138594603.74996755,515.69,0
321,True,0,6,0,227446607.66149312,468.71500000000003,0
322,True,1,5,0,79617118.72888859,960.0,0
323,True,6,0,0,11379713.657404942,133.0,-1
324,True,0,6,0,147195702.42623022,656.22,0
325,True,3,3,0,69131124.38941325,360.70000000000005,17
326,True,0,6,0,190439536.02246395,451.0,0
327,True,0,6,0,210093335.82971826,377.55,0
328,True,0,6,0,155193991.5424338,632.0,0
329,True,2,4,0,104990213.56635012,772.0,0
330,True,0,6,0,89621472.78238657,229.6,0
331,True,1,5,0,186634784.6597497,1500.0,0
332,True,0,6,0,260564571.17495427,1288.3999999999999,0
333,True,0,6,0,312413287.7319592,1430.0,0
334,True,1,5,0,74917739.9070329,833.13,0
335,True,0,6,0,331091843.76106703,647.9,0
336,True,0,6,0,663056833.331281,1325.3,0
337,True,0,6,0,49987081.65291364,323.6,0
338,True,5,1,0,109590565.27007544,985.0,0
