rep,reallocation,n_completed,n_withdrawn,n_active_at_end,X_total,total_mw,first_wd_month
150,False,2,4,0,264249164.22752827,2105.0,0
151,False,1,5,0,208472255.5346756,785.0,0
152,False,5,1,0,34212247.788536765,442.7,0
153,False,0,6,0,62650426.20242669,324.9,0
154,False,0,6,0,29945574.825914197,419.464,0
155,False,0,6,0,24281707.552325048,195.8,0
156,False,1,5,0,96147969.6476817,450.625,0
157,False,3,3,0,786468400.2044036,3460.0,0
158,False,6,0,0,45483460.36739606,174.1,-1
159,False,4,2,0,112507022.32877828,1400.3600000000001,0
160,False,3,3,0,108123690.96604413,437.0,0
161,False,4,2,0,218235990.16716242,532.3,0
162,False,5,1,0,27884576.940490033,238.94,6
163,False,4,2,0,100358393.97083472,470.2,0
164,False,6,0,0,22300614.701688685,183.0,-1
165,False,3,3,0,131965308.38658284,343.0,0
166,False,1,5,0,616163414.9319423,1450.125,0
167,False,0,6,0,69929554.6500509,463.0,0
168,False,1,5,0,363457409.1084952,778.24,0
169,False,5,1,0,28810214.80945071,303.19,1
170,False,4,2,0,745127953.1872926,1470.2,0
171,False,0,6,0,152208067.12838832,571.9100000000001,0
172,False,2,4,0,754028936.6056057,2628.7,0
173,False,6,0,0,35516166.209178686,499.0,-1
174,False,0,6,0,206431121.11253014,814.3,0
175,False,4,2,0,269920265.88782644,1125.356,0
176,False,6,0,0,27367893.236485504,78.57,-1
177,False,0,6,0,469490245.10965425,981.6,0
178,False,6,0,0,75025961.69442554,338.3,-1
179,False,4,2,0,51721631.11780953,213.225,1
180,False,0,6,0,107440151.53407972,767.4,0
181,False,5,1,0,93595432.83337145,315.0,0
182,False,6,0,0,45493772.36133407,425.38,-1
183,False,3,3,0,258530755.30609924,680.9,0
184,False,3,3,0,151833083.94700915,944.8,0
185,False,6,0,0,49253001.03633314,499.2,-1
186,False,0,6,0,148044704.13563982,446.364,0
187,False,5,1,0,28045717.490959186,217.0,1
188,False,3,3,0,358133470.2617835,778.88,0
189,False,5,1,0,64277839.17052973,258.0,2
190,False,3,3,0,184531873.71029952,1221.1,0
191,False,2,4,0,61037070.29266238,389.0,0
192,False,0,6,0,208834731.08885804,433.0,0
193,False,4,2,0,308372929.9645871,972.0,0
194,False,0,6,0,69968526.24629593,352.1,0
195,False,1,5,0,166546187.87979853,328.6,0
196,False,2,4,0,28890699.750193547,122.5,0
197,False,0,6,0,138698503.79617304,448.0,0
198,False,4,2,0,205915670.83808604,958.87,0
199,False,6,0,0,19688103.57520758,118.7,-1
200,False,4,2,0,137455736.64326328,522.95,0
201,False,6,0,0,38974351.508699544,219.61999999999998,-1
202,False,0,6,0,77697517.41171162,368.40000000000003,0
203,False,5,1,0,67050920.0958015,290.90000000000003,0
204,False,5,1,0,147057138.5789948,364.9,0
205,False,6,0,0,15314052.48890621,86.74,-1
206,False,5,1,0,47855274.71820844,353.30999999999995,1
207,False,6,0,0,71161183.77613775,508.0,-1
208,False,2,4,0,121459531.68984026,948.2,0
209,False,1,5,0,36728239.278159864,225.3,1
210,False,6,0,0,24801292.55505039,147.17000000000002,-1
211,False,3,3,0,282369821.79268456,1119.8,0
212,False,3,3,0,46179916.70410882,286.99,0
213,False,0,6,0,87797044.85988034,866.9000000000001,0
214,False,5,1,0,57608983.973637916,470.5,1
215,False,5,1,0,137192446.33220586,503.9,0
216,False,1,5,0,86884596.830942,282.1,0
217,False,0,6,0,275850460.2279208,721.13,0
218,False,5,1,0,84370036.59103042,1042.9,0
219,False,4,2,0,306771643.92769706,813.1099999999999,0
220,False,2,4,0,112119521.03401667,363.9,0
221,False,5,1,0,56852773.03822567,570.6,1
222,False,1,5,0,258985973.17608023,531.0,0
223,False,4,2,0,485102680.42288053,2431.4,0
224,False,1,5,0,34711074.76141561,324.975,1
225,False,1,5,0,257580551.90743658,620.0,0
226,False,6,0,0,21205402.844800808,275.0,-1
227,False,4,2,0,148300663.76717493,578.4,0
228,False,2,4,0,90183782.61041242,320.0,0
229,False,5,1,0,79645134.80402116,551.8,1
230,False,6,0,0,24244293.39840817,148.89000000000001,-1
231,False,2,4,0,23666601.66823502,231.0,0
232,False,6,0,0,91816874.480554,482.5,-1
233,False,5,1,0,92125177.17840518,307.2,2
234,False,0,6,0,24839654.09055753,237.75,0
235,False,4,2,0,122489782.10401686,1549.9,0
236,False,0,6,0,157411960.5865573,365.76,0
237,False,4,2,0,153537682.74377754,377.0,0
238,False,4,2,0,353824037.363242,936.0,0
239,False,4,2,0,395849456.0569667,728.38,0
240,False,3,3,0,90637468.35649207,1033.2,0
241,False,3,3,0,409467761.15044713,754.0,0
242,False,1,5,0,103286372.63670889,703.36,0
243,False,6,0,0,17103603.422062743,117.8,-1
244,False,2,4,0,83619541.34560785,791.81,0
245,False,0,6,0,440424730.94532394,1227.4,0
246,False,5,1,0,34475586.89302699,341.9,1
247,False,4,2,0,153221167.20350325,810.3,0
248,False,5,1,0,44974726.66484955,547.2,0
249,False,5,1,0,40289738.51791929,251.998,3
250,False,4,2,0,186241998.39544582,382.8,0
251,False,0,6,0,235447006.5397224,572.0,0
252,False,1,5,0,533426248.27223784,982.7,0
253,False,6,0,0,73644977.45278873,358.0,-1
254,False,0,6,0,76088025.93134752,145.25,0
255,False,2,4,0,511729914.6113914,990.4,0
256,False,1,5,0,148892164.09319746,553.9,0
257,False,3,3,0,447800839.3373382,1532.9,0
258,False,5,1,0,153736098.99310505,971.4,0
259,False,1,5,0,740665493.6760262,1784.0,0
260,False,4,2,0,252136280.6811149,830.0,0
261,False,5,1,0,24492498.221924465,289.44,1
262,False,5,1,0,33092757.165441953,344.6,20
263,False,3,3,0,80101987.41109864,587.5,0
264,False,1,5,0,114050394.81133744,372.09999999999997,0
265,False,3,3,0,33964879.26188365,409.3,1
266,False,0,6,0,47419699.26338386,447.8,0
267,False,3,3,0,90054079.47642551,160.8,0
268,False,1,5,0,356775980.34130543,643.7,0
269,False,6,0,0,36475478.65209028,250.0,-1
270,False,6,0,0,27853529.12098789,241.3,-1
271,False,5,1,0,83255517.1723963,1136.0,1
272,False,1,5,0,110318354.79885559,344.1,0
273,False,5,1,0,43005292.85784375,315.0,0
274,False,0,6,0,43951483.30138254,293.4,0
275,False,0,6,0,30015510.694052547,129.81799999999998,0
276,False,0,6,0,461657312.8219386,908.65,0
277,False,0,6,0,38912419.47048217,539.0,0
278,False,4,2,0,117995635.40472549,247.6,0
279,False,5,1,0,65947582.365812615,259.9,0
280,False,3,3,0,69604433.06104358,187.0,0
