project_id,poi_id,mw,t_entry,t_cod,t_exit,status,H_base,U_final,poi_mu,poi_c_per_kw
610,136,160.2,59,102,59.0,withdrawn,24083505.135931645,29790983.441402696,15052930.909537623,185.9611950149981
611,254,1000.0,59,86,59.0,withdrawn,84397886.94736792,238882393.25682592,79632959.8556182,238.8823932568259
612,93,7.5,59,97,78.0,withdrawn,25537069.397867814,21346005.701424316,18464577.6923296,342.5325495487491
613,2,80.0,59,125,59.0,withdrawn,14037726.080026293,16678817.148747515,17191573.38968228,208.48521435934393
614,171,75.0,59,116,72.0,withdrawn,36813268.665209614,274381138.45280844,44113362.22583156,245.7731444399932
615,197,3.1,59,114,78.0,withdrawn,25728563.322063994,17594256.345208846,26900380.612589244,165.30776397001733
616,171,1041.4,59,134,59.0,withdrawn,54179250.248792805,255948152.61980894,44113362.22583156,245.7731444399932
617,174,150.0,59,108,60.0,withdrawn,40993292.9725464,21653837.176675618,42280785.421184495,144.35891451117078
618,257,90.0,59,104,59.0,withdrawn,21091876.010093186,34620972.96764771,16884723.71205689,384.6774774183079
619,386,100.0,60,147,60.0,withdrawn,-1951394.785982095,18787381.300092254,338943.6682451696,187.87381300092252
620,30,2.0,60,115,115.0,completed,43356980.468655735,662172.2963807982,43175246.71973287,331.0861481903991
621,133,1.17,60,111,111.0,completed,55321112.889348894,554523.7906078473,51447200.260829486,473.9519577844848
622,153,50.0,60,84,60.0,withdrawn,18875114.904088087,5505902.884456147,22322367.98929395,110.11805768912294
623,146,19.2,60,84,84.0,completed,30788904.240605287,9833367.859231617,28677963.842054218,143.96293257846432
624,259,20.0,60,122,87.0,withdrawn,36826602.720387876,32152306.10168524,46492648.87537469,100.47595656776639
625,207,120.0,60,84,84.0,completed,95805315.12475944,81473975.28552109,90743296.03523871,355.6403683098143
626,360,200.0,60,97,60.0,withdrawn,9268804.174999904,45881978.8897197,11494469.776857076,229.4098944485985
627,94,200.0,60,142,60.0,withdrawn,5720754.266352233,70279199.18696979,6063384.1941644475,351.3959959348489
628,155,12.0,60,90,90.0,completed,28259118.61090454,2110093.8193318215,28650933.048805475,175.84115161098515
629,205,97.5,60,84,84.0,completed,43930568.06677156,13611632.897238858,47829995.27692953,139.6064912537319
630,288,67.0,61,119,61.0,withdrawn,17742799.30688011,18376454.679847743,19436496.183361173,274.27544298280213
631,103,79.4,61,85,85.0,completed,75378275.7904469,13273328.182975993,65822548.35256741,167.17038013823668
632,125,37.2,61,107,107.0,completed,56618047.96348602,7165846.013463865,53550722.57448727,192.63026917913615
633,197,2.0,61,85,83.0,withdrawn,23486062.96608302,11351133.12594119,26900380.612589244,165.30776397001733
634,250,20.0,61,105,105.0,completed,74968295.66014338,2335134.1451520002,71679531.26772606,116.7567072576
635,67,10.0,61,86,84.0,withdrawn,73296939.68982932,86318387.28001714,71233620.03090759,89.28904982074158
636,368,300.0,62,114,62.0,withdrawn,43641263.84545524,36504858.28056938,43537717.138420075,121.68286093523126
637,394,8.4,62,111,111.0,completed,76616518.88735174,929095.0277079652,74444205.12329715,110.6065509176149
638,7,20.0,62,86,63.0,withdrawn,20125100.00283375,5835792.990882671,22773063.297026906,291.78964954413357
