rho,seed,n_pairs,did,pre_trend_p,k-4,k-3,k-2,k-1,k0,k1,k2,k3,k4,k5,k6,k7,k8,peak_beta,peak_k
0.9,108,386,-0.03626943005181347,0.7919277491277791,0.0025906735751299627,0.007772020725389475,1.0946105133413653e-15,0.0,1.8214596497756474e-17,-0.07772020725387976,0.018134715025905145,0.010362694300518768,0.023316062176167204,0.04404145077720199,0.0336787564766845,0.02072538860103643,0.041450777202072416,0.04404145077720199,5
0.9,109,394,-0.0532994923857868,0.4201587526064471,0.005076142131980675,0.015228426395939569,1.2906342661267445e-15,0.0,2.8492833092919057e-16,-0.07868020304567801,0.017766497461926965,0.035532994923858606,-0.007614213197969327,0.03553299492385803,0.05837563451776748,0.04314720812182833,0.038071065989848316,0.05837563451776748,6
0.9,110,417,-0.10071942446043165,0.18274783065916997,0.016786570743406615,0.011990407673861305,2.5695591487906455e-16,0.0,-4.85722573273506e-16,-0.1151079136690556,0.007194244604315038,-0.007194244604316637,0.04316546762589806,0.007194244604316148,0.021582733812948618,0.03597122302158201,0.02158273381294901,0.04316546762589806,4
0.9,111,397,-0.04030226700251889,0.9744397769072699,0.0050377833753133825,-0.002518891687657462,-2.074512436833764e-15,0.0,-1.196959198423997e-16,-0.1158690176322349,0.002518891687652746,0.02518891687657305,0.050377833753146445,0.03526448362720297,0.052896725440804454,0.025188916876572157,0.007556675062970595,0.052896725440804454,6
0.9,112,397,-0.09319899244332494,0.2763167117691421,0.01007556675062901,0.012594458438287234,1.6436504934880247e-16,0.0,3.7643499428696714e-16,-0.1234256926952046,0.012594458438283967,0.037783375314861575,0.0025188916876565243,0.04534005037783403,0.032745591939545904,0.03778337531486084,0.037783375314861145,0.04534005037783403,5
0.9,113,390,-0.046153846153846156,0.991202550532796,0.0025641025641026183,0.0025641025641024735,3.2395960913866872e-16,0.0,-1.8735013540549517e-16,-0.11282051282051378,-0.007692307692306607,0.043589743589744365,0.035897435897436006,0.05897435897435778,0.03333333333333337,0.0051282051282054136,0.012820512820512728,0.05897435897435778,5
0.9,114,392,-0.03571428571428571,0.721810193631292,0.010204081632658062,0.002551020408164564,3.127706427186183e-15,0.0,2.1658022597570437e-15,-0.08928571428571316,0.010204081632656486,0.010204081632653713,0.04591836734694017,0.030612244897960432,0.03826530612245052,0.025510204081633833,0.022959183673470794,0.04591836734694017,4
0.95,105,401,-0.06234413965087282,0.642838771755123,0.012468827930176372,0.007481296758104135,-3.1051550219984847e-16,0.0,4.579669976578771e-16,-0.08728179551121976,-1.2247147740396258e-15,0.024937655860349434,0.019950124688279613,0.024937655860349465,0.032418952618454316,0.03740648379052482,0.04488778054862917,0.04488778054862917,8
0.95,106,397,-0.04534005037783375,0.8542774325113878,-0.002518891687658086,0.007556675062972344,-9.426053687588976e-16,0.0,2.938187887435717e-16,-0.09319899244331864,-0.0176322418136069,0.030226700251888835,0.040302267002517655,0.03526448362720385,-0.0050377833753160505,0.030226700251888235,0.03022670025188849,0.040302267002517655,4
0.95,107,404,-0.04950495049504951,0.8754293738473321,-0.007425742574258139,3.3393426912553537e-16,1.1342923128543347e-15,0.0,4.3042826247674526e-16,-0.10148514851484872,-0.029702970297028473,0.047029702970297765,0.027227722772276638,0.034653465346533796,0.03217821782178234,0.01237623762376223,-5.594483210025203e-16,0.034653465346533796,5
0.95,108,407,-0.03194103194103194,0.359293298983553,0.002457002456995691,0.012285012285006912,-5.395423691156864e-15,0.0,-4.9146884478767916e-15,-0.05896805896805322,-0.014742014742022243,0.009828009828002564,0.04668304668303929,0.07371007371006873,0.02702702702702059,0.04914004914004226,0.04176904176903452,0.07371007371006873,5
0.95,109,398,-0.002512562814070352,0.4285467885230798,-0.007537688442212914,-0.020100502512563463,-2.409530908131785e-15,0.0,-1.6384463230600943e-15,-0.05025125628140512,1.304512053934559e-15,0.005025125628139426,0.015075376884420726,0.025125628140702815,0.06532663316582782,0.0326633165829138,0.025125628140702343,0.06532663316582782,6
0.95,110,384,-0.078125,0.002062323251643168,0.03645833333333527,0.010416666666666071,4.484260185400046e-16,0.0,6.745905917204809e-16,-0.12239583333332721,0.02604166666666828,0.02343749999999922,0.04166666666666711,0.05468750000000042,0.028645833333333398,0.01041666666666698,0.023437500000000465,0.05468750000000042,5
0.95,111,383,-0.04699738903394256,0.994459528835401,0.002610966057442457,-5.637851296924623e-16,1.5525775109992423e-16,0.0,-5.171644362755856e-16,-0.09399477806788778,-0.005221932114881714,0.007832898172325293,0.04699738903394372,0.031331592689295015,0.03133159268929545,0.036553524804177444,0.028720626631853957,0.04699738903394372,4
