project_id,poi_id,mw,t_entry,t_cod,t_exit,status,H_base,U_final,poi_mu,poi_c_per_kw
1491,93,28.8,151,175,151.0,withdrawn,19309274.702839468,9864937.427003976,18464577.6923296,342.5325495487491
1492,228,100.0,151,210,160.0,withdrawn,15659606.283029843,7449819.547403527,13295164.233980505,74.49819547403527
1493,156,200.0,151,175,151.0,withdrawn,25451373.220986176,53323837.70708675,25554836.6810432,266.61918853543375
1494,304,5.2,152,177,177.0,completed,84323194.41081765,874880.2452863771,84937854.44511907,168.24620101661097
1495,331,1.9,152,176,159.0,withdrawn,17169755.57821758,621550.5227305018,11014306.171453299,327.1318540686852
1496,8,200.0,152,176,154.0,withdrawn,35216098.23632173,19346974.59561197,30351083.070348777,96.73487297805984
1497,374,5.8,152,176,152.0,withdrawn,-22454044.11040717,721290.8410332828,-20354684.276075073,124.36048983332464
1498,282,150.0,152,207,152.0,withdrawn,60215165.899868906,59703749.39132051,56951464.472705,398.02499594213674
1499,93,20.0,152,176,154.0,withdrawn,13126941.203128662,6850650.990974982,18464577.6923296,342.5325495487491
1500,268,8.8,152,176,176.0,completed,35034001.48734208,4940156.114230669,34664605.326879784,561.3813766171214
1501,220,410.0,152,266,152.0,withdrawn,39577202.47981135,209390888.23752382,39532855.44653549,510.70948350615566
1502,322,464.0,153,216,153.0,withdrawn,62757473.399810314,181123001.87784338,64962995.91291734,390.3512971505245
1503,387,96.0,153,177,153.0,withdrawn,5357336.933696482,18266490.524240848,-249242.57709689534,190.27594296084214
1504,86,4.0,153,236,,active,38841219.95637098,395802.8671931372,39242663.6285703,98.95071679828429
1505,331,40.0,153,194,154.0,withdrawn,16130190.998876354,13085274.162747407,11014306.171453299,327.1318540686852
1506,103,20.0,153,245,,active,68525536.52145922,3343407.6027647336,65822548.35256741,167.17038013823668
1507,80,5.0,153,177,177.0,completed,31081738.277880244,433946.0344097753,36511711.2029342,86.78920688195505
1508,238,20.0,153,216,153.0,withdrawn,-3724871.6977002323,5257708.108586987,232864.25061859406,262.88540542934936
1509,264,200.0,154,191,154.0,withdrawn,8819880.858149096,18909531.41768514,-678410.054656029,94.5476570884257
1510,189,75.0,154,215,,active,52607281.76851833,12269968.824170694,46555312.225265615,163.59958432227592
1511,157,77.4,154,192,,active,54884978.38822153,5521733.896208844,57907786.02686417,71.34023121716852
1512,70,75.0,154,178,154.0,withdrawn,16085814.034091724,25945930.00075363,19409982.768544685,345.94573334338173
1513,220,240.0,154,203,154.0,withdrawn,34335368.43303844,122570276.04147737,39532855.44653549,510.70948350615566
1514,377,127.0,154,178,154.0,withdrawn,26227706.392362576,28995102.455612574,31174353.094844673,228.30789335128011
1515,294,60.0,154,178,155.0,withdrawn,55277810.89615451,32186578.778586183,52799425.574776284,536.4429796431031
1516,253,675.0,155,179,155.0,withdrawn,36505047.971700124,81732794.09932487,37268564.09380432,121.08562088788868
1517,123,49.4,155,179,155.0,withdrawn,-3180104.9778356594,4549760.365827027,-4722439.104468127,92.10041226370498
1518,96,5.0,155,179,179.0,completed,38114797.147816226,2494061.8161691683,36337040.67054751,498.81236323383365
1519,67,2.3,155,201,,active,66193775.20952178,205364.81458770562,71233620.03090759,89.28904982074158
1520,202,100.0,155,203,155.0,withdrawn,34424003.58687666,27588793.285914138,41397671.25260557,275.88793285914136
1521,264,15.0,155,179,155.0,withdrawn,-843626.5576014385,1418214.8563263854,-678410.054656029,94.5476570884257
1522,146,50.0,155,179,179.0,completed,31771292.99284763,7198146.628923216,28677963.842054218,143.96293257846432
1523,105,450.0,155,179,155.0,withdrawn,24712704.46413047,53090889.94050072,26311914.69516202,117.97975542333494
1524,202,90.0,155,179,179.0,completed,50274117.71786143,24829913.95732272,41397671.25260557,275.88793285914136
1525,136,57.0,155,186,155.0,withdrawn,18526935.064651225,10599788.115854891,15052930.909537623,185.9611950149981
1526,88,10.0,155,192,,active,23431737.21173305,2380264.8254262847,25135678.703265153,238.02648254262843
1527,70,5.0,155,225,155.0,withdrawn,12654762.188925486,1729728.6667169088,19409982.768544685,345.94573334338173
1528,185,16.9,155,209,158.0,withdrawn,15196442.983285155,2244659.445032966,12104413.067589056,132.82008550490923
1529,159,20.0,155,179,179.0,completed,53361904.57389187,2540296.6320287506,56550001.26030335,127.01483160143754
1530,118,3.0,155,179,179.0,completed,32304508.543355156,588245.7445253182,34443805.12876973,196.08191484177271
1531,124,20.0,155,179,179.0,completed,28987406.257047374,10199971.19459312,31904767.64175851,509.99855972965605
