regime,seed,total_wd,total_deposited,total_absorbed,pool_residual,diff_k1,diff_k2,diff_k3,diff_k4,diff_k5,diff_k6,diff_k7,diff_k8
OFF,157,4387,0.0,0.0,0.0,0.0343358395989975,0.04976551226551226,-0.0081608005521049,-0.02207792207792207,-0.005555555555555555,-0.009619047619047619,-0.005952380952380952,0.0019480519480519487
OFF,158,4381,0.0,0.0,0.0,0.08243044408774747,0.022115213126449082,0.011893028451278008,0.02210651319996346,-0.014957264957264958,-0.006530298665130127,0.005274432139681512,-0.0030303030303030303
OFF,159,4445,0.0,0.0,0.0,0.10313521028849496,0.03847304210940575,0.030284292821606256,0.004523809523809531,0.01989010989010989,0.006923076923076922,-0.0009307359307359308,0.005714285714285714
OFF,160,4382,0.0,0.0,0.0,0.05326424870466321,0.032037996545768554,0.011598702685599017,-0.007335954629527554,0.001759580297894997,-0.007181165348604671,-0.02097902097902098,-0.009962508951514385
OFF,161,4296,0.0,0.0,0.0,0.023948004068141363,0.07321984668822613,0.05277696174435305,0.0014262924507895316,0.005434782608695652,0.016304347826086956,0.006737333812432626,0.010869565217391304
OFF,162,4463,0.0,0.0,0.0,0.0653912050256996,0.011829790956004546,0.027928802588996767,-0.00979390223130642,0.002660567587752051,0.006307937030332951,-0.009385113268608414,0.019417475728155338
OFF,163,4479,0.0,0.0,0.0,0.038267713158346206,0.055955235811350916,-0.006877377816798362,-0.017403141771457672,0.0029898584003061612,0.005194615159496634,-0.010041257128989203,0.006218905472636815
OFF,164,4390,0.0,0.0,0.0,0.05055824125230202,0.02372651039711063,0.052851336762557946,0.026374103520040725,0.02512358243675487,-0.009475138121546961,-0.003887383161332917,-0.005132305902878744
OFF,165,4538,0.0,0.0,0.0,-0.001509661835748799,0.02405719183419043,0.015611679454390452,0.0067891649413388535,0.009755538897218058,0.005187747035573122,0.008732587589700296,0.0
OFF,166,4534,0.0,0.0,0.0,0.03764592647789369,-0.026201485217878663,0.011247723132969036,-0.027542820406851267,0.017547578669681554,0.009236423424730402,0.0025500910746812395,0.00819672131147541
