pair_id,treated_poi,control_poi,event_quarter,treated_depth,control_depth,entity,dominant_type,n_wd_in_event
517,SOCO||danway goat rock (gpco) 230 kv line,SOCO||burkville substation 115 kv bus,2024Q4,1,1,SOCO,Solar,1
518,PSCo||comanche 230 kv line,PSCo||comanche substation 115 kv,2020Q1,1,1,PSCo,Solar,1
519,PJM||brunner west hempfield 230 kv,PJM||camden,2000Q4,1,1,PJM,Gas,1
520,PJM||dequine 345 kv,PJM||ashtabula 138 kv,2013Q1,1,1,PJM,Wind,2
521,PJM||sedgehill person 230 kv,PJM||oak green 115 kv,2024Q4,2,2,PJM,Solar+Battery,1
522,PJM||twin branch meridian 345 kv,PJM||birchwood fines corner 230 kv,2024Q4,1,1,PJM,Battery,1
523,ERCOT||76005 schneeman draw 345 kv,ERCOT||345 kv aspire station (68011),2020Q1,2,2,ERCOT,Wind,1
524,PSCo||midway comanche 230 kv line,PSCo||parachute substation 249 kv bus,2020Q2,1,1,PSCo,Solar,1
525,CAISO||la cienega substation 230 kv,CAISO||chowchilla 115 kv,2023Q1,1,1,CAISO,Battery,1
526,PJM||jubal early pipers gap 138 kv,PJM||beaver valley crescent 138 kv,2024Q4,1,1,PJM,Solar+Battery,1
527,CAISO||gates substation 230 kv bus,CAISO||arco gen #1 & #2 230 kv lines,2011Q2,1,1,CAISO,Gas,1
528,PJM||richmond,PJM||burlington 230 kv,2001Q4,1,1,PJM,Gas,1
529,PJM||allen junction 345 kv,PJM||bixby 345 kv,2024Q2,1,1,PJM,Battery,1
530,PSCo||rmec green valley 230 kv line,PSCo||1 mile south of ault,2005Q3,1,1,PSCo,Wind,1
531,PJM||derry tap derry bus 69 kv iii,PJM||bethelboro connellsville 25 kv,2024Q4,1,1,PJM,Solar,1
532,CAISO||tranquility 230 kv,CAISO||gates 230 kv,2019Q2,5,5,CAISO,Solar+Battery,1
533,CAISO||helm substation 70 kv bus,CAISO||border 69 kv substation,2013Q3,1,1,CAISO,Solar,1
534,PJM||red house dp 115 kv,PJM||bethelboro 25 kv 1,2024Q2,1,1,PJM,Solar,1
535,PJM||dumont 345 kv,PJM||bennett farmingdale 2 345 kv,2021Q1,1,1,PJM,Solar,1
536,ERCOT||59904 cottonwood 345 kv,ERCOT||7077 amos cr 345 kv,2018Q3,2,2,ERCOT,Solar,2
537,ISO-NE||nstar brighton substation,ISO-NE||cl&p windsor locks substation,2013Q1,2,2,ISO-NE,Gas+Oil,1
538,ERCOT||tap 345 kv 8689 tango 8606 goddard,ERCOT||138 kv ash creek switch (#3473),2023Q2,2,2,ERCOT,Solar,1
539,PJM||frenchtown rosemont 345 kv,PJM||broadway stewartsville #3 345 kv,2015Q2,1,1,PJM,Solar,1
540,PJM||timber switch 138 kv,PJM||branchville sussex #2 345 kv,2020Q3,1,1,PJM,Battery,1
541,PJM||grit dp perth 115 kv,PJM||bethelboro 25 kv 2,2024Q2,1,1,PJM,Solar,2
542,SOCO||thomasville west valdosta 230 kv line,SOCO||branch warrenton primary 230 kv line,2018Q2,1,1,SOCO,Solar,1
543,PJM||nevada 345 kv,PJM||bear peak east st clair 23 kv,2022Q3,1,1,PJM,Solar,1
544,CAISO||panoche oro loma 115 kv tap,CAISO||brighton davis 115 kv,2012Q2,1,1,CAISO,Solar,1
545,CAISO||mohave substation 500 kv,CAISO||trout canyon substation 230 kv,2020Q1,3,3,CAISO,Solar+Battery,1
546,PJM||everetts 345 kv,PJM||boykins 115 kv,2015Q4,1,1,PJM,Solar,1
547,PJM||orchard 230 kv,PJM||bayonne 13 kv,2010Q2,1,1,PJM,Solar,1
548,CAISO||eldorado substation 230 kv,CAISO||los esteros 115 kv,2010Q4,1,1,CAISO,Battery,1
