pair_id,role,entity_poi,depth,pre_wd_count,mean_mw,mean_q_year,dominant_type,n_types
94,control,CAISO||kramer 230 kv,3,0,122.10000000000001,2016.0,Solar+Battery,1
95,treated,PJM||fitchville new london 69 kv,1,0,40.0,2021.0,Solar,1
95,control,PJM||american can basf 345 kv,1,0,19.6,2021.0,Solar,1
96,treated,PJM||braidwood cook,1,0,250.0,2012.0,Other,1
96,control,PJM||4 quad cities 1 ni hub,1,0,250.0,2012.0,Other,1
97,treated,SOCO||snowdoun south montgomery 230 kv line,1,0,80.0,2016.0,Solar,1
97,control,SOCO||baxley vidalia 115 kv line,1,0,120.0,2016.0,Solar,1
98,treated,SOCO||hatch offerman 230 kv line,1,0,100.0,2016.0,Solar,1
98,control,SOCO||bio substation 115 kv bus,1,0,150.0,2017.0,Solar,1
99,treated,PJM||burlington 138 kv,1,0,336.0,1999.0,Gas,1
99,control,PJM||atlantic,1,0,471.0,2001.0,Gas,1
100,treated,PJM||barterbrook stuarts draft 115 kv,2,0,79.0,2019.0,Battery,2
100,control,PJM||brandon shores 230 kv,2,0,212.5,2021.0,Battery,1
101,treated,PJM||martins creekcherry hill 69 kv,1,0,22.0,2023.0,Solar,1
101,control,PJM||altoona raystown 230 kv iii,1,0,30.16,2023.0,Solar,1
102,treated,PJM||belvidere,1,0,11.15,2011.0,Gas,1
102,control,PJM||ak steel middletown ak steel 1c 138 kv,1,0,134.5,2010.0,Gas,1
103,treated,PJM||union city cambridge springs 345 kv,1,0,20.0,2019.0,Solar,1
103,control,PJM||altamont tuscarora 69 kv,1,0,20.0,2020.0,Solar,1
104,treated,PJM||greene beatty 345 kv,1,0,56.1,2023.0,Solar,1
104,control,PJM||amherst riverville138 kv,1,0,18.0,2023.0,Solar,1
105,treated,PJM||barbadoes 34 kv,1,0,1.0,2012.0,Battery,1
105,control,PJM||alpha 345 kv,1,0,20.0,2015.0,Battery,1
106,treated,PJM||westmoreland 345 kv,1,0,20.0,2016.0,Battery,1
106,control,PJM||atlantic oceanview 34 kv,1,0,3.0,2015.0,Battery,1
107,treated,PJM||montgomery 12 kv,1,0,5.1,2021.0,Solar,1
107,control,PJM||amherst 69 kv,1,0,65.0,2020.0,Solar,1
108,treated,CAISO||lugo pisgah 230 kv,3,0,243.33333333333334,2023.0,Solar+Battery,2
108,control,CAISO||arco substation 230 kv,3,0,263.6666666666667,2023.0,Solar+Battery,1
109,treated,CAISO||johanna substation 230 kv,1,0,305.0,2019.0,Battery,1
109,control,CAISO||avocado substation 69 kv,1,0,69.6,2015.0,Battery,1
110,treated,CAISO||etiwanda substation 230 kv,3,0,252.88113733333333,2020.3333333333333,Battery,1
110,control,CAISO||lamont 115 kv,3,0,98.11833333333334,2017.3333333333333,Battery,3
111,treated,PJM||todds tavern spotsylvania/goldsdale 115 kv,1,0,50.0,2021.0,Battery,1
111,control,PJM||appomattox esc,1,0,100.0,2022.0,Battery,1
112,treated,PJM||williamstown 12 kv,1,0,12.0,2011.0,Solar,1
112,control,PJM||andover kittatinny #2 345 kv,1,0,10.0,2010.0,Solar,1
113,treated,CAISO||rio hondo substation 230 kv,1,0,200.0,2019.0,Battery,1
113,control,CAISO||atlantic 60 kv,1,0,102.0,2020.0,Battery,1
114,treated,PJM||robinson 69 kv,1,0,55.0,2021.0,Solar+Battery,1
114,control,PJM||adams seaman 69 kv,1,0,87.2,2022.0,Solar+Battery,1
115,treated,PJM||lexington 115 kv,1,0,100.0,2021.0,Battery,1
